订单ID	用户ID	国家	省份	城市	区县	订单金额
339429	112556	1	3	50	489	87
339430	230809	1	6	76	695	130
339431	162944	1	26	322	2723	346
339432	12271	1	14	197	1648	137
339433	130617	1	26	322	2728	54
339434	12271	1	14	197	1648	137
339435	230772	1	16	221	1869	163
339436	220384	1	32	394	3352	193
339437	230809	1	6	76	695	86
339438	32748	1	22	284	2348	50
339439	212038	1	2	52	506	72
339440	226697	1	10	148	1239	71
339441	184056	1	14	202	1693	87
339442	63704	1	11	163	1392	211
339443	195230	1	31	391	3309	104
339444	186586	1	11	160	1364	244
339445	53650	1	14	197	1648	36
339446	227373	1	2	52	500	53
339447	226935	1	6	79	736	128
339448	45775	1	5	70	659	360
339449	37182	1	6	76	697	185
339450	162358	1	11	155	1308	434
339451	184056	1	14	202	1693	72
339452	137472	1	6	76	696	132
339453	17806	1	11	149	1253	134
339454	199953	1	14	197	1649	244
339455	227289	1	16	229	1933	165
339456	227057	1	4	53	524	89
339457	225909	1	16	222	1877	105
339458	108456	1	19	265	2223	91
339459	210860	1	31	390	3304	341
339460	129355	1	31	383	3240	204
339461	202372	1	10	147	1215	75
339462	160230	1	13	181	1558	204
339463	65406	1	29	351	3007	145
339464	143467	1	8	119	1038	247
339465	229127	1	22	288	2383	65
339466	14901	1	17	233	1959	148
339467	24406	1	14	197	1648	91
339468	209751	1	16	231	1950	94
339469	211252	1	6	80	747	526
339470	201409	1	24	319	2679	483
339471	32748	1	2	52	503	50
339472	227289	1	16	229	1933	489
339473	111478	1	14	209	1752	83
339474	71960	1	14	197	1648	564
339475	138987	1	4	53	518	140
339476	26281	1	6	79	719	43
339477	32748	1	19	261	2181	50
339478	149768	1	6	77	709	157
339479	199945	1	31	383	3234	149
339480	172283	1	26	322	2748	66
339481	32748	1	10	138	1078	50
339482	20584	1	17	233	1969	71
339483	33336	1	4	59	582	92
339484	8585	1	26	330	2815	277
339485	229303	1	22	289	2394	1144
339486	88	1	13	184	1572	84
